Время,Тип,Путь,IP,Статус,Файлы,Энтропия,IOPS
2026-03-13T19:36:58.176835Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.169513Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.167410Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.164435Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.161623Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.159552Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.155292Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.152504Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.149690Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.147278Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.145115Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.143058Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.134458Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.113260Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.083814Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.079880Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.068514Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.064884Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.062329Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.056989Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.053329Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.050974Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.048731Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.046529Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.039883Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.033252Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.029266Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.025682Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.022159Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.019988Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.018138Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.015288Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.009311Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.004380Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:58.002178Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.999529Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.997208Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.988592Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.985405Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.983409Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.981037Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.973294Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.970530Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
